"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"138" "Rv0067c" 886991 "." "NP_214581.1" "transcriptional regulator" "NC_000962.3" 74629 75198 569 "-" "protein_coding" "Rv0067c"
"139" "Rv0068" 886989 "." "NP_214582.1" "oxidoreductase" "NC_000962.3" 75301 76212 911 "+" "protein_coding" "Rv0068"
"140" "Rv0069c" 886986 "sdaA" "NP_214583.1" "L-serine dehydratase" "NC_000962.3" 76237 77622 1385 "-" "protein_coding" "Rv0069c"
"141" "Rv0070c" 886983 "glyA2" "NP_214584.1" "serine hydroxymethyltransferase" "NC_000962.3" 77619 78896 1277 "-" "protein_coding" "Rv0070c"
"142" "Rv0071" 886988 "." "NP_214585.1" "maturase" "NC_000962.3" 79486 80193 707 "+" "protein_coding" "Rv0071"
"143" "Rv0072" 886984 "." "NP_214586.1" "glutamine ABC transporter permease" "NC_000962.3" 80624 81673 1049 "+" "protein_coding" "Rv0072"
"144" "Rv0073" 886977 "." "NP_214587.1" "glutamine ABC transporter ATP-binding protein" "NC_000962.3" 81676 82668 992 "+" "protein_coding" "Rv0073"
"145" "Rv0074" 886976 "." "NP_214588.1" "hypothetical protein" "NC_000962.3" 82748 83983 1235 "+" "protein_coding" "Rv0074"
"146" "Rv0075" 886982 "." "NP_214589.1" "aminotransferase" "NC_000962.3" 83996 85168 1172 "+" "protein_coding" "Rv0075"
"147" "Rv0076c" 886992 "." "NP_214590.1" "membrane protein" "NC_000962.3" 85183 85572 389 "-" "protein_coding" "Rv0076c"
"148" "Rv0077c" 886969 "." "NP_214591.1" "oxidoreductase" "NC_000962.3" 85636 86466 830 "-" "protein_coding" "Rv0077c"
"151" "Rv0078" 886990 "." "NP_214592.1" "transcriptional regulator" "NC_000962.3" 86528 87133 605 "+" "protein_coding" "Rv0078"
"150" "Rv0078A" 3205053 "." "YP_177616.1" "hypothetical protein" "NC_000962.3" 87208 87801 593 "-" "protein_coding" "Rv0078A"
"149" "Rv0078B" 14515845 "." "YP_007408717.1" "hypothetical protein" "NC_000962.3" 87798 88004 206 "-" "protein_coding" "Rv0078B"
"152" "Rv0079" 886995 "." "NP_214593.1" "hypothetical protein" "NC_000962.3" 88204 89025 821 "+" "protein_coding" "Rv0079"
"153" "Rv0080" 886966 "." "NP_214594.1" "hypothetical protein" "NC_000962.3" 89022 89480 458 "+" "protein_coding" "Rv0080"
"154" "Rv0081" 887012 "." "NP_214595.1" "HTH-type transcriptional regulator" "NC_000962.3" 89575 89919 344 "+" "protein_coding" "Rv0081"
"155" "Rv0082" 886968 "." "NP_214596.2" "oxidoreductase" "NC_000962.3" 89924 90403 479 "+" "protein_coding" "Rv0082"
"156" "Rv0083" 886965 "." "NP_214597.1" "oxidoreductase" "NC_000962.3" 90400 92322 1922 "+" "protein_coding" "Rv0083"
"157" "Rv0084" 886959 "hycD" "NP_214598.1" "formate hydrogenlyase HycD" "NC_000962.3" 92328 93278 950 "+" "protein_coding" "Rv0084"
"158" "Rv0085" 886973 "hycP" "NP_214599.1" "hydrogenase HycP" "NC_000962.3" 93289 93951 662 "+" "protein_coding" "Rv0085"
"159" "Rv0086" 886963 "hycQ" "NP_214600.1" "hydrogenase HycQ" "NC_000962.3" 93951 95417 1466 "+" "protein_coding" "Rv0086"
"160" "Rv0087" 886956 "hycE" "NP_214601.1" "formate hydrogenase HycE" "NC_000962.3" 95414 96892 1478 "+" "protein_coding" "Rv0087"
"161" "Rv0088" 886954 "." "NP_214602.1" "polyketide cyclase/dehydrase" "NC_000962.3" 96927 97601 674 "+" "protein_coding" "Rv0088"
"162" "Rv0089" 886949 "." "NP_214603.1" "methyltransferase" "NC_000962.3" 97758 98351 593 "+" "protein_coding" "Rv0089"
"163" "Rv0090" 886961 "." "NP_214604.1" "membrane protein" "NC_000962.3" 98480 99250 770 "+" "protein_coding" "Rv0090"
"164" "Rv0091" 886953 "mtn" "NP_214605.1" "5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase" "NC_000962.3" 99684 100451 767 "+" "protein_coding" "Rv0091"
"165" "Rv0092" 886946 "ctpA" "NP_214606.1" "cation transporter ATPase A" "NC_000962.3" 100583 102868 2285 "+" "protein_coding" "Rv0092"
"166" "Rv0093c" 886945 "." "NP_214607.1" "membrane protein" "NC_000962.3" 102815 103663 848 "-" "protein_coding" "Rv0093c"
"167" "Rv0094c" 886943 "." "NP_214608.1" "hypothetical protein" "NC_000962.3" 103710 104663 953 "-" "protein_coding" "Rv0094c"
"168" "Rv0095c" 886940 "." "NP_214609.1" "hypothetical protein" "NC_000962.3" 104805 105215 410 "-" "protein_coding" "Rv0095c"
"169" "Rv0096" 886938 "PPE1" "YP_177690.1" "PPE family protein PPE1" "NC_000962.3" 105324 106715 1391 "+" "protein_coding" "Rv0096"
"170" "Rv0097" 886942 "." "NP_214611.1" "oxidoreductase" "NC_000962.3" 106734 107603 869 "+" "protein_coding" "Rv0097"
"171" "Rv0098" 886935 "fcoT" "NP_214612.1" "fatty acyl CoA thioesterase FcoT" "NC_000962.3" 107600 108151 551 "+" "protein_coding" "Rv0098"
"172" "Rv0099" 886933 "fadD10" "NP_214613.1" "fatty-acid--CoA ligase FadD10" "NC_000962.3" 108156 109778 1622 "+" "protein_coding" "Rv0099"
"173" "Rv0100" 886931 "." "NP_214614.1" "hypothetical protein" "NC_000962.3" 109783 110019 236 "+" "protein_coding" "Rv0100"
"174" "Rv0101" 886951 "nrp" "NP_214615.1" "peptide synthetase Nrp" "NC_000962.3" 110001 117539 7538 "+" "protein_coding" "Rv0101"
"175" "Rv0102" 886926 "." "NP_214616.1" "integral membrane protein" "NC_000962.3" 117714 119699 1985 "+" "protein_coding" "Rv0102"
"176" "Rv0103c" 886928 "ctpB" "NP_214617.1" "cation-transporter P-type ATPase B" "NC_000962.3" 119915 122173 2258 "-" "protein_coding" "Rv0103c"
"177" "Rv0104" 886923 "." "NP_214618.1" "hypothetical protein" "NC_000962.3" 122317 123831 1514 "+" "protein_coding" "Rv0104"
"178" "Rv0105c" 886920 "rpmB1" "YP_177691.1" "50S ribosomal protein L28" "NC_000962.3" 123980 124264 284 "-" "protein_coding" "Rv0105c"
"179" "Rv0106" 886919 "." "NP_214620.1" "hypothetical protein" "NC_000962.3" 124374 125570 1196 "+" "protein_coding" "Rv0106"
"180" "Rv0107c" 886915 "ctpI" "NP_214621.1" "cation-transporter ATPase I" "NC_000962.3" 125643 130541 4898 "-" "protein_coding" "Rv0107c"
"181" "Rv0108c" 886918 "." "NP_214622.1" "hypothetical protein" "NC_000962.3" 130895 131104 209 "-" "protein_coding" "Rv0108c"
"182" "Rv0109" 886912 "PE_PGRS1" "YP_177692.1" "PE-PGRS family protein PE_PGRS1" "NC_000962.3" 131382 132872 1490 "+" "protein_coding" "Rv0109"
"183" "Rv0110" 886917 "." "NP_214624.1" "integral membrane protein" "NC_000962.3" 133020 133769 749 "+" "protein_coding" "Rv0110"
"184" "Rv0111" 886909 "." "NP_214625.1" "acyltransferase" "NC_000962.3" 133950 136007 2057 "+" "protein_coding" "Rv0111"
"185" "Rv0112" 886907 "gca" "NP_214626.1" "GDP-mannose 4,6-dehydratase" "NC_000962.3" 136289 137245 956 "+" "protein_coding" "Rv0112"
"186" "Rv0113" 886905 "gmhA" "NP_214627.1" "phosphoheptose isomerase" "NC_000962.3" 137319 137909 590 "+" "protein_coding" "Rv0113"
"187" "Rv0114" 886903 "gmhB" "NP_214628.1" "D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase" "NC_000962.3" 137941 138513 572 "+" "protein_coding" "Rv0114"
"189" "Rv0115" 886902 "hddA" "NP_214629.1" "D-alpha-D-heptose-7-phosphate kinase HddA" "NC_000962.3" 138513 139673 1160 "+" "protein_coding" "Rv0115"
"188" "Rv0115a" 19394668 "." "YP_009030027.1" "hypothetical protein" "NC_000962.3" 139956 140144 188 "+" "protein_coding" "Rv0115a"
"190" "Rv0116c" 886900 "ldtA" "NP_214630.1" "L,D-transpeptidase LdtA" "NC_000962.3" 140267 141022 755 "-" "protein_coding" "Rv0116c"
"191" "Rv0117" 886914 "oxyS" "NP_214631.1" "oxidative stress response regulatory protein OxyS" "NC_000962.3" 141200 142144 944 "+" "protein_coding" "Rv0117"
"192" "Rv0118c" 886898 "oxcA" "NP_214632.1" "oxalyl-CoA decarboxylase OxcA" "NC_000962.3" 142128 143876 1748 "-" "protein_coding" "Rv0118c"
"193" "Rv0119" 886896 "fadD7" "NP_214633.1" "fatty-acid--CoA ligase FadD7" "NC_000962.3" 144049 145626 1577 "+" "protein_coding" "Rv0119"
"194" "Rv0120c" 886894 "fusA2" "NP_214634.1" "elongation factor G" "NC_000962.3" 145627 147771 2144 "-" "protein_coding" "Rv0120c"
"195" "Rv0121c" 886892 "." "NP_214635.1" "hypothetical protein" "NC_000962.3" 147908 148342 434 "-" "protein_coding" "Rv0121c"
"196" "Rv0122" 886888 "." "NP_214636.1" "hypothetical protein" "NC_000962.3" 148491 148859 368 "+" "protein_coding" "Rv0122"
"197" "Rv0123" 886887 "." "NP_214637.1" "hypothetical protein" "NC_000962.3" 148856 149224 368 "+" "protein_coding" "Rv0123"
"198" "Rv0124" 886883 "PE_PGRS2" "YP_177693.1" "PE-PGRS family protein PE_PGRS2" "NC_000962.3" 149533 150996 1463 "+" "protein_coding" "Rv0124"
"199" "Rv0125" 886924 "pepA" "NP_214639.1" "serine protease PepA" "NC_000962.3" 151148 152215 1067 "+" "protein_coding" "Rv0125"
"200" "Rv0126" 886881 "treS" "NP_214640.1" "trehalose synthase/amylase TreS" "NC_000962.3" 152324 154129 1805 "+" "protein_coding" "Rv0126"
"201" "Rv0127" 886880 "mak" "NP_214641.1" "maltokinase" "NC_000962.3" 154232 155599 1367 "+" "protein_coding" "Rv0127"
"202" "Rv0128" 886878 "." "NP_214642.1" "transmembrane protein" "NC_000962.3" 155667 156446 779 "+" "protein_coding" "Rv0128"
"203" "Rv0129c" 886885 "fbpC" "YP_177694.1" "diacylglycerol acyltransferase/mycolyltransferase Ag85C" "NC_000962.3" 156578 157600 1022 "-" "protein_coding" "Rv0129c"
"204" "Rv0130" 886876 "htdZ" "NP_214644.1" "3-hydroxyl-thioester dehydratase" "NC_000962.3" 157847 158302 455 "+" "protein_coding" "Rv0130"
"205" "Rv0131c" 886874 "fadE1" "NP_214645.1" "acyl-CoA dehydrogenase FadE1" "NC_000962.3" 158315 159658 1343 "-" "protein_coding" "Rv0131c"
"206" "Rv0132c" 886877 "fgd2" "NP_214646.1" "F420-dependent glucose-6-phosphate dehydrogenase" "NC_000962.3" 159700 160782 1082 "-" "protein_coding" "Rv0132c"
"207" "Rv0133" 886873 "." "NP_214647.1" "GCN5-like N-acetyltransferase" "NC_000962.3" 160869 161474 605 "+" "protein_coding" "Rv0133"
"208" "Rv0134" 886871 "ephF" "NP_214648.1" "epoxide hydrolase EphF" "NC_000962.3" 161771 162673 902 "+" "protein_coding" "Rv0134"
"209" "Rv0135c" 886869 "." "NP_214649.1" "transcriptional regulator" "NC_000962.3" 162644 163249 605 "-" "protein_coding" "Rv0135c"
"210" "Rv0136" 886868 "cyp138" "NP_214650.1" "cytochrome P450 Cyp138" "NC_000962.3" 163366 164691 1325 "+" "protein_coding" "Rv0136"
"211" "Rv0137c" 886865 "msrA" "NP_214651.1" "peptide methionine sulfoxide reductase MsrA" "NC_000962.3" 164712 165260 548 "-" "protein_coding" "Rv0137c"
"212" "Rv0138" 886863 "." "NP_214652.1" "hypothetical protein" "NC_000962.3" 165323 165826 503 "+" "protein_coding" "Rv0138"
"213" "Rv0139" 886860 "." "NP_214653.1" "oxidoreductase" "NC_000962.3" 165827 166849 1022 "+" "protein_coding" "Rv0139"
"214" "Rv0140" 886859 "." "NP_214654.1" "hypothetical protein" "NC_000962.3" 166910 167290 380 "+" "protein_coding" "Rv0140"
"215" "Rv0141c" 886872 "." "NP_214655.1" "hypothetical protein" "NC_000962.3" 167271 167681 410 "-" "protein_coding" "Rv0141c"
"216" "Rv0142" 886858 "." "NP_214656.1" "hypothetical protein" "NC_000962.3" 167711 168637 926 "+" "protein_coding" "Rv0142"
"217" "Rv0143c" 886856 "." "NP_214657.1" "transmembrane protein" "NC_000962.3" 168704 170182 1478 "-" "protein_coding" "Rv0143c"
"218" "Rv0144" 886854 "." "NP_214658.1" "transcriptional regulator" "NC_000962.3" 170284 171126 842 "+" "protein_coding" "Rv0144"
"219" "Rv0145" 886851 "." "NP_214659.1" "S-adenosylmethionine-dependent methyltransferase" "NC_000962.3" 171215 172168 953 "+" "protein_coding" "Rv0145"
"220" "Rv0146" 886849 "." "NP_214660.1" "S-adenosylmethionine-dependent methyltransferase" "NC_000962.3" 172211 173143 932 "+" "protein_coding" "Rv0146"
"221" "Rv0147" 886847 "." "NP_214661.1" "aldehyde dehydrogenase" "NC_000962.3" 173238 174758 1520 "+" "protein_coding" "Rv0147"
"222" "Rv0148" 886845 "." "NP_214662.1" "short-chain type dehydrogenase/reductase" "NC_000962.3" 174833 175693 860 "+" "protein_coding" "Rv0148"
"223" "Rv0149" 886843 "." "NP_214663.1" "quinone oxidoreductase" "NC_000962.3" 175700 176668 968 "+" "protein_coding" "Rv0149"
"224" "Rv0150c" 886840 "." "NP_214664.1" "hypothetical protein" "NC_000962.3" 176665 176952 287 "-" "protein_coding" "Rv0150c"
"225" "Rv0151c" 886857 "PE1" "YP_177695.1" "PE family protein PE1" "NC_000962.3" 177543 179309 1766 "-" "protein_coding" "Rv0151c"
"226" "Rv0152c" 886838 "PE2" "YP_177696.1" "PE family protein PE2" "NC_000962.3" 179319 180896 1577 "-" "protein_coding" "Rv0152c"
"227" "Rv0153c" 886842 "ptbB" "NP_214667.1" "phosphotyrosine protein phosphatase" "NC_000962.3" 181155 181985 830 "-" "protein_coding" "Rv0153c"
"228" "Rv0154c" 886836 "fadE2" "NP_214668.1" "acyl-CoA dehydrogenase FadE2" "NC_000962.3" 181987 183198 1211 "-" "protein_coding" "Rv0154c"
"229" "Rv0155" 886832 "pntAa" "NP_214669.1" "NAD(P) transhydrogenase subunit alpha PntAa" "NC_000962.3" 183622 184722 1100 "+" "protein_coding" "Rv0155"
"230" "Rv0156" 886890 "pntAb" "NP_214670.1" "NAD(P) transhydrogenase subunit alpha PntAb" "NC_000962.3" 184723 185055 332 "+" "protein_coding" "Rv0156"
"231" "Rv0157" 886830 "pntB" "NP_214671.1" "NAD(P) transhydrogenase subunit beta PntB" "NC_000962.3" 185052 186479 1427 "+" "protein_coding" "Rv0157"
"232" "Rv0157A" 3205086 "." "YP_007408797.1" "hypothetical protein" "NC_000962.3" 186495 186623 128 "-" "protein_coding" "Rv0157A"
"233" "Rv0158" 886828 "." "NP_214672.1" "transcriptional regulator" "NC_000962.3" 186785 187429 644 "+" "protein_coding" "Rv0158"
"234" "Rv0159c" 886826 "PE3" "YP_177697.1" "PE family protein PE3" "NC_000962.3" 187433 188839 1406 "-" "protein_coding" "Rv0159c"
"235" "Rv0160c" 886825 "PE4" "YP_177698.1" "PE family protein PE4" "NC_000962.3" 188931 190439 1508 "-" "protein_coding" "Rv0160c"
"236" "Rv0161" 886835 "." "NP_214675.1" "oxidoreductase" "NC_000962.3" 190607 191956 1349 "+" "protein_coding" "Rv0161"
"237" "Rv0162c" 886824 "adhE1" "YP_177699.1" "zinc-type alcohol dehydrogenase subunit E" "NC_000962.3" 191984 193135 1151 "-" "protein_coding" "Rv0162c"
"238" "Rv0163" 886821 "." "NP_214677.1" "hypothetical protein" "NC_000962.3" 193117 193572 455 "+" "protein_coding" "Rv0163"
"239" "Rv0164" 886267 "TB18.5" "YP_177617.1" "hypothetical protein" "NC_000962.3" 193626 194111 485 "+" "protein_coding" "Rv0164"
"240" "Rv0165c" 886818 "mce1R" "YP_177700.2" "transcriptional regulator Mce1R" "NC_000962.3" 194144 194815 671 "-" "protein_coding" "Rv0165c"
"241" "Rv0166" 886822 "fadD5" "NP_214680.1" "fatty-acid--CoA ligase FadD5" "NC_000962.3" 194993 196657 1664 "+" "protein_coding" "Rv0166"
"242" "Rv0167" 886816 "yrbE1A" "NP_214681.1" "membrane protein" "NC_000962.3" 196861 197658 797 "+" "protein_coding" "Rv0167"
"243" "Rv0168" 886812 "yrbE1B" "NP_214682.1" "membrane protein" "NC_000962.3" 197660 198529 869 "+" "protein_coding" "Rv0168"
"244" "Rv0169" 886823 "mce1A" "YP_177701.1" "Mce family protein Mce1A" "NC_000962.3" 198534 199898 1364 "+" "protein_coding" "Rv0169"
"245" "Rv0170" 886810 "mce1B" "NP_214684.1" "Mce family protein Mce1B" "NC_000962.3" 199895 200935 1040 "+" "protein_coding" "Rv0170"
"246" "Rv0171" 886808 "mce1C" "NP_214685.1" "Mce family protein Mce1C" "NC_000962.3" 200932 202479 1547 "+" "protein_coding" "Rv0171"
"247" "Rv0172" 886807 "mce1D" "NP_214686.1" "Mce family protein Mce1D" "NC_000962.3" 202476 204068 1592 "+" "protein_coding" "Rv0172"
"248" "Rv0173" 886804 "lprK" "NP_214687.1" "Mce family lipoprotein LprK" "NC_000962.3" 204065 205237 1172 "+" "protein_coding" "Rv0173"
"249" "Rv0174" 886820 "mce1F" "NP_214688.1" "Mce family protein Mce1F" "NC_000962.3" 205231 206778 1547 "+" "protein_coding" "Rv0174"
